T	Q1	V1	Q2	V2	Q3	V3
5.0	0.00	0.00	0.00	0.00	0.01	0.00
10.1	0.00	0.00	0.00	0.00	0.22	0.06
15.1	0.00	0.00	0.00	0.00	0.48	0.25
20.1	0.00	0.00	0.00	0.00	1.78	0.64
25.1	0.00	0.00	0.00	0.00	5.51	1.22
30.1	10.76	0.00	0.00	0.00	13.58	1.84
35.1	29.77	0.00	0.00	0.00	27.87	2.47
40.0	7.61	0.00	0.00	0.00	43.69	2.76
45.2	2.60	0.00	0.00	0.00	12064.33	11.19
50.1	51.62	0.00	0.00	0.00	22375.77	14.38
55.1	115.35	15.03	0.00	0.00	18984.72	18.10
60.1	158.10	12.79	0.00	0.00	11317.91	13.66
65.1	121.22	9.22	0.00	0.00	5693.35	10.13
70.1	98.78	8.96	0.00	0.00	3747.42	10.00
75.1	96.28	8.28	0.00	0.00	3540.60	9.46
80.1	96.62	6.72	0.00	0.00	3291.13	7.74
85.1	91.36	5.74	0.00	0.00	2650.83	6.68
90.1	84.55	5.58	0.00	0.00	2173.96	6.51
95.0	81.25	5.85	0.00	0.00	2005.35	6.77
100.2	81.10	5.88	0.00	0.00	1901.20	6.78
105.2	79.04	5.74	0.00	0.00	1744.71	6.63
110.1	77.82	5.62	0.00	0.00	1596.42	6.50
115.1	78.66	5.51	0.00	0.00	1475.23	6.41
120.1	79.00	5.43	0.00	0.00	1378.42	6.33
125.0	77.53	5.38	0.00	0.00	1301.02	6.27
130.1	77.24	5.38	0.00	0.00	1232.61	6.24
135.1	77.84	5.36	0.00	0.00	1168.16	6.22
140.1	78.75	5.33	0.00	0.00	1111.71	6.18
145.1	80.07	5.29	0.00	0.00	1062.30	6.14
150.2	81.66	5.23	0.00	0.00	1014.52	6.09
155.1	82.69	5.18	0.00	0.00	972.10	6.03
160.2	83.71	5.12	0.00	0.00	931.19	5.95
165.1	85.22	5.04	0.00	0.00	894.36	5.87
170.0	86.92	4.99	0.00	0.00	865.17	5.82
175.0	89.04	4.90	0.00	0.00	832.52	5.72
180.0	91.28	4.84	0.00	0.00	809.26	5.66
185.1	89.21	4.76	0.00	0.00	781.20	5.58
190.2	89.39	4.69	0.00	0.00	756.53	5.49
195.2	90.10	4.63	0.00	0.00	735.74	5.43
200.1	91.66	4.52	0.00	0.00	709.42	5.31
205.0	97.32	4.48	0.00	0.00	698.94	5.26
210.0	96.36	4.35	0.00	0.00	675.52	5.13
215.0	101.87	4.28	0.00	0.00	665.23	5.04
220.0	101.33	4.17	0.00	0.00	650.47	4.94
225.1	103.22	4.07	0.00	0.00	636.39	4.83
230.1	105.05	3.98	0.00	0.00	626.69	4.73
235.1	106.37	3.90	0.00	0.00	618.23	4.65
240.1	108.14	3.81	0.00	0.00	608.14	4.56
245.1	107.62	3.71	0.00	0.00	593.37	4.45
250.1	109.34	3.64	0.00	0.00	582.91	4.38
255.0	110.39	3.54	0.00	0.00	567.72	4.26
260.1	110.96	3.44	0.00	0.00	555.64	4.16
265.1	111.36	3.35	0.00	0.00	545.85	4.07
270.1	111.95	3.27	0.00	0.00	537.18	3.98
275.0	112.41	3.18	0.00	0.00	528.68	3.89
280.1	112.47	3.10	0.00	0.00	520.22	3.80
285.2	112.39	3.02	0.00	0.00	510.49	3.71
290.0	113.01	2.93	0.00	0.00	501.49	3.62
295.1	114.59	2.83	0.00	0.00	494.00	3.53
300.1	114.90	2.74	0.00	0.00	486.32	3.44
305.1	0.00	0.00	0.00	0.00	0.00	0.00
100000.0	0.00	0.00	0.00	0.00	0.00	0.00
