T	H1	V1	E1	Q1	H2	V2	E2	Q2	H3	V3	E3	Q3
0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04
10.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.08	0.00	0.26
15.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.38	0.00	0.72
20.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.84	0.00	2.63
25.1	0.00	0.00	0.00	544.60	0.00	0.00	0.00	0.00	0.08	1.41	0.00	9.30
30.1	0.00	0.00	0.00	1192.81	0.00	0.00	0.00	0.00	0.12	1.99	0.00	18.60
35.1	0.01	5.18	0.00	395.25	0.00	0.00	0.00	0.00	0.44	5.71	0.00	185.54
40.0	0.18	12.57	0.00	316.66	0.00	0.00	0.00	0.00	3.38	13.57	0.00	29906.07
45.1	0.19	12.49	0.00	711.16	0.00	0.00	0.00	0.00	5.58	13.40	0.00	38011.67
50.1	0.28	17.74	0.00	895.65	0.00	0.00	0.00	0.00	12.22	18.53	0.00	27452.94
55.2	0.35	14.21	0.00	718.26	0.00	0.00	0.00	0.00	7.65	14.91	0.00	14171.37
60.1	0.33	10.78	0.00	544.75	0.00	0.00	0.00	0.00	4.68	11.46	0.00	7319.57
65.2	0.44	7.45	0.00	537.20	0.00	0.00	0.00	0.00	5.76	8.21	0.00	4566.57
70.1	0.49	5.32	0.00	537.31	0.00	0.00	0.00	0.00	7.14	5.97	0.00	3404.37
75.1	0.43	3.91	0.00	490.39	0.00	0.00	0.00	0.00	6.08	4.60	0.00	2674.25
80.1	0.39	2.87	0.00	436.12	0.00	0.00	0.00	0.00	5.32	3.55	0.00	2126.17
85.0	0.37	2.34	0.00	386.47	0.00	0.00	0.00	0.00	4.90	3.03	0.00	1747.95
90.1	0.36	2.07	0.00	361.51	0.00	0.00	0.00	0.00	4.68	2.76	0.00	1521.55
95.2	0.36	1.91	0.00	345.57	0.00	0.00	0.00	0.00	4.61	2.59	0.00	1378.41
100.0	0.36	1.78	0.00	334.11	0.00	0.00	0.00	0.00	4.53	2.46	0.00	1264.69
105.1	0.36	1.63	0.00	322.86	0.00	0.00	0.00	0.00	4.51	2.32	0.00	1164.20
110.1	0.36	1.53	0.00	309.04	0.00	0.00	0.00	0.00	4.45	2.20	0.00	1085.90
115.1	0.37	1.43	0.00	302.21	0.00	0.00	0.00	0.00	4.43	2.10	0.00	1022.27
120.2	0.37	1.34	0.00	293.38	0.00	0.00	0.00	0.00	4.39	2.01	0.00	971.78
125.0	0.37	1.28	0.00	287.40	0.00	0.00	0.00	0.00	4.36	1.94	0.00	931.39
130.1	0.37	1.22	0.00	281.40	0.00	0.00	0.00	0.00	4.32	1.88	0.00	896.73
135.1	0.38	1.17	0.00	275.97	0.00	0.00	0.00	0.00	4.28	1.83	0.00	867.71
140.1	0.38	1.13	0.00	271.97	0.00	0.00	0.00	0.00	4.24	1.79	0.00	842.86
145.0	0.38	1.09	0.00	269.61	0.00	0.00	0.00	0.00	4.20	1.76	0.00	820.63
150.1	0.39	1.06	0.00	266.40	0.00	0.00	0.00	0.00	4.16	1.72	0.00	797.43
155.2	0.39	1.02	0.00	259.54	0.00	0.00	0.00	0.00	4.13	1.67	0.00	776.74
160.1	0.39	0.98	0.00	256.44	0.00	0.00	0.00	0.00	4.11	1.63	0.00	757.68
165.1	0.40	0.93	0.00	254.20	0.00	0.00	0.00	0.00	4.08	1.59	0.00	737.59
170.2	0.40	0.89	0.00	253.01	0.00	0.00	0.00	0.00	4.06	1.54	0.00	719.40
175.0	0.41	0.86	0.00	250.58	0.00	0.00	0.00	0.00	4.04	1.50	0.00	701.66
180.0	0.41	0.81	0.00	249.64	0.00	0.00	0.00	0.00	4.01	1.46	0.00	684.74
185.1	0.42	0.78	0.00	249.19	0.00	0.00	0.00	0.00	3.99	1.43	0.00	668.17
190.1	0.42	0.74	0.00	249.22	0.00	0.00	0.00	0.00	3.98	1.39	0.00	651.76
195.1	0.42	0.70	0.00	250.17	0.00	0.00	0.00	0.00	3.96	1.35	0.00	636.69
200.0	0.43	0.67	0.00	251.51	0.00	0.00	0.00	0.00	3.94	1.32	0.00	623.52
205.1	0.43	0.64	0.00	253.07	0.00	0.00	0.00	0.00	3.92	1.29	0.00	610.32
210.0	0.44	0.61	0.00	251.70	0.00	0.00	0.00	0.00	3.91	1.26	0.00	599.01
215.1	0.44	0.58	0.00	250.96	0.00	0.00	0.00	0.00	3.90	1.22	0.00	588.18
220.1	0.45	0.55	0.00	250.32	0.00	0.00	0.00	0.00	3.89	1.19	0.00	577.98
225.0	0.45	0.52	0.00	250.12	0.00	0.00	0.00	0.00	3.89	1.16	0.00	567.57
230.1	0.46	0.50	0.00	249.62	0.00	0.00	0.00	0.00	3.88	1.13	0.00	557.42
235.1	0.46	0.48	0.00	249.51	0.00	0.00	0.00	0.00	3.88	1.10	0.00	547.67
240.2	0.47	0.45	0.00	247.91	0.00	0.00	0.00	0.00	3.88	1.08	0.00	538.38
245.0	0.47	0.42	0.00	246.44	0.00	0.00	0.00	0.00	3.88	1.05	0.00	529.50
250.1	0.48	0.39	0.00	244.75	0.00	0.00	0.00	0.00	3.88	1.02	0.00	520.29
255.1	0.49	0.36	0.00	242.98	0.00	0.00	0.00	0.00	3.89	0.99	0.00	511.89
