T	H1	V1	E1	Q1	H2	V2	E2	Q2	H3	V3	E3	Q3
0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
50.1	0.28	17.74	0.00	895.65	0.00	0.00	0.00	0.00	12.22	18.53	0.00	27452.94
100.0	0.36	1.78	0.00	334.11	0.00	0.00	0.00	0.00	4.53	2.46	0.00	1264.69
150.1	0.39	1.06	0.00	266.40	0.00	0.00	0.00	0.00	4.16	1.72	0.00	797.43
200.0	0.43	0.67	0.00	251.51	0.00	0.00	0.00	0.00	3.94	1.32	0.00	623.52
250.1	0.48	0.39	0.00	244.75	0.00	0.00	0.00	0.00	3.88	1.02	0.00	520.29
300.1	0.56	0.21	0.00	235.48	0.00	0.00	0.00	0.00	3.98	0.81	0.00	461.96
350.1	0.66	0.12	0.00	250.78	0.00	0.00	0.00	0.00	4.07	0.70	0.00	434.48
400.1	0.79	0.07	0.00	246.73	0.00	0.00	0.00	0.00	4.22	0.61	0.00	399.53
450.1	0.95	0.05	0.00	212.00	0.00	0.00	0.00	0.00	4.52	0.55	0.00	382.23
500.0	1.12	0.05	0.00	209.32	0.00	0.00	0.00	0.00	4.73	0.53	0.00	384.43
550.1	1.33	0.12	0.00	210.46	0.00	0.00	0.00	0.00	4.94	0.50	0.00	387.49
600.0	1.57	0.03	0.00	198.42	0.00	0.00	0.00	0.00	5.13	0.47	0.00	385.56
650.0	1.85	0.09	0.00	203.13	0.00	0.00	0.00	0.00	5.31	0.45	0.00	392.86
700.1	2.18	0.15	0.00	197.12	0.00	0.00	0.00	0.00	5.42	0.42	0.00	389.36
750.1	2.57	0.05	0.00	200.16	0.00	0.00	0.00	0.00	5.53	0.40	0.00	391.34
800.1	2.98	0.05	0.00	188.82	0.00	0.00	0.00	0.00	5.51	0.39	0.00	393.22
850.1	3.45	0.16	0.00	250.86	0.00	0.00	0.00	0.00	5.43	0.38	0.00	377.58
900.1	4.00	0.14	0.00	277.13	0.00	0.00	0.00	0.00	5.33	0.36	0.00	377.22
