T	Q1	V1	Q2	V2	Q3	V3
50.1	895.65	17.74	0.00	0.00	27452.94	18.53
100.0	334.11	1.78	0.00	0.00	1264.69	2.46
150.1	266.40	1.06	0.00	0.00	797.43	1.72
200.0	251.51	0.67	0.00	0.00	623.52	1.32
250.1	244.75	0.39	0.00	0.00	520.29	1.02
300.1	235.48	0.21	0.00	0.00	461.96	0.81
350.1	250.78	0.12	0.00	0.00	434.48	0.70
400.1	246.73	0.07	0.00	0.00	399.53	0.61
450.1	212.00	0.05	0.00	0.00	382.23	0.55
500.0	209.32	0.05	0.00	0.00	384.43	0.53
550.1	210.46	0.12	0.00	0.00	387.49	0.50
600.0	198.42	0.03	0.00	0.00	385.56	0.47
650.0	203.13	0.09	0.00	0.00	392.86	0.45
700.1	197.12	0.15	0.00	0.00	389.36	0.42
750.1	200.16	0.05	0.00	0.00	391.34	0.40
800.1	188.82	0.05	0.00	0.00	393.22	0.39
850.1	250.86	0.16	0.00	0.00	377.58	0.38
900.1	277.13	0.14	0.00	0.00	377.22	0.36
950.1	296.76	0.16	0.00	0.00	375.73	0.35
1000.1	293.34	0.00	0.00	0.00	377.16	0.37
1050.0	342.10	0.01	0.00	0.00	386.81	0.39
1100.1	402.01	0.12	0.00	0.00	390.97	0.37
1150.2	471.50	0.19	0.00	0.00	395.12	0.36
1200.0	547.30	0.14	0.00	0.00	388.37	0.37
1250.2	562.24	0.14	0.00	0.00	383.50	0.37
1300.2	619.83	0.00	0.00	0.00	357.68	0.38
1350.2	633.74	0.05	0.00	0.00	337.48	0.36
1400.0	736.10	0.09	0.00	0.00	316.93	0.39
1450.1	802.61	0.03	0.00	0.00	304.86	0.41
1500.2	704.69	0.14	0.00	0.00	288.15	0.40
1550.0	733.69	0.01	0.00	0.00	273.82	0.45
1600.1	755.46	0.15	0.00	0.00	250.05	0.46
1650.1	849.48	0.00	0.00	0.00	235.40	0.46
1700.2	971.80	0.29	0.00	0.00	219.92	0.45
1750.2	1069.92	0.23	0.00	0.00	205.18	0.53
1800.1	1092.04	0.18	0.00	0.00	179.46	0.52
1850.1	1183.24	0.23	0.00	0.00	157.59	0.53
1900.0	1184.28	0.03	0.00	0.00	140.54	0.53
1950.1	1262.56	0.17	0.00	0.00	124.02	0.52
2000.1	1107.95	0.01	0.00	0.00	112.03	0.57
2050.0	1080.34	0.22	0.00	0.00	97.95	0.58
2100.2	1108.29	0.03	0.00	0.00	86.67	0.61
2150.1	1081.80	0.04	0.00	0.00	75.71	0.55
2200.1	1255.86	0.23	0.00	0.00	67.45	0.53
2250.1	1299.43	0.06	0.00	0.00	59.11	0.54
2300.1	1098.54	0.10	0.00	0.00	53.24	0.51
2350.1	1119.72	0.12	0.00	0.00	47.21	0.51
2400.0	1030.13	0.17	0.00	0.00	42.93	0.47
2450.0	1235.38	0.13	0.00	0.00	38.94	0.46
2500.1	956.12	0.03	0.00	0.00	36.08	0.44
2550.0	1087.85	0.04	0.00	0.00	32.96	0.44
2600.1	1168.38	0.13	0.00	0.00	30.45	0.42
2650.1	1140.07	0.21	0.00	0.00	27.99	0.40
2700.1	939.16	0.09	0.00	0.00	26.76	0.39
2750.1	1005.22	0.13	0.00	0.00	24.92	0.37
2800.1	1137.23	0.16	0.00	0.00	23.37	0.37
2850.0	985.48	0.03	0.00	0.00	22.03	0.36
2900.1	1039.17	0.11	0.00	0.00	21.29	0.37
2950.1	902.12	0.06	0.00	0.00	19.65	0.35
3000.0	794.65	0.07	0.00	0.00	18.73	0.36
3050.0	954.14	0.17	0.00	0.00	17.63	0.35
3100.0	835.60	0.11	0.00	0.00	16.98	0.40
3150.0	731.89	0.00	0.00	0.00	15.98	0.38
3200.0	845.79	0.12	0.00	0.00	15.35	0.39
3250.0	916.74	0.08	0.00	0.00	14.55	0.36
3300.1	820.59	0.00	0.00	0.00	13.99	0.35
3350.0	952.27	0.02	0.00	0.00	13.35	0.35
3400.1	969.57	0.00	0.00	0.00	12.76	0.36
3450.0	896.04	0.09	0.00	0.00	12.21	0.35
3500.1	758.97	0.06	0.00	0.00	12.12	0.38
3550.1	745.22	0.00	0.00	0.00	11.66	0.39
3600.1	1045.93	0.19	0.00	0.00	11.18	0.39
3650.1	0.00	0.00	0.00	0.00	0.00	0.00
100000.0	0.00	0.00	0.00	0.00	0.00	0.00
