nout	nsum	cfl	tlength	tsum	dmax1	vmax1	dmax2	vmax2	dmax3	vmax3	volume1	volume2	volume3	ekin
R	-----	-----	-----	-----	*50.00	-----	*0.00	-----	*24.72	-----	*19952386.0	*0.0	*1488957.1	-----
0	0	-----	-----	0.0	50.00	0.00	0.00	0.00	24.72	0.00	19952386.0	0.0	1488957.1	-----
1	282	0.399	8.9	50.1	55.94	44.17	0.00	0.00	23.77	37.96	19950938.0	0.0	1488552.2	850976636928
2	566	0.394	9.7	100.0	53.28	27.05	0.00	0.00	19.63	23.23	19948570.0	0.0	1487864.8	107081326592
3	828	0.391	9.9	150.1	55.74	28.11	0.00	0.00	18.46	14.78	19946908.0	0.0	1486788.0	40000864256
4	1096	0.387	9.2	200.0	56.50	27.04	0.00	0.00	17.52	14.72	19944944.0	0.0	1485566.5	29506887680
5	1373	0.389	9.3	250.1	57.46	24.07	0.00	0.00	16.75	14.66	19943060.0	0.0	1484259.8	27407484928
6	1644	0.379	9.2	300.1	58.23	23.12	0.00	0.00	16.15	14.31	19941276.0	0.0	1482971.6	25517035520
7	1928	0.395	10.5	350.1	57.35	22.93	0.00	0.00	15.03	14.27	19939600.0	0.0	1481597.5	27665121280
8	2227	0.365	10.4	400.1	55.67	22.27	0.00	0.00	13.98	15.47	19937782.0	0.0	1480047.9	27216795648
9	2491	0.400	9.2	450.1	58.32	19.64	0.00	0.00	13.73	14.56	19936352.0	0.0	1478684.8	23831568384
10	2755	0.382	9.4	500.0	58.68	20.32	0.00	0.00	12.94	15.10	19934828.0	0.0	1477331.6	23580778496
11	3021	0.392	9.6	550.1	58.89	19.01	0.00	0.00	12.01	15.46	19933306.0	0.0	1475933.5	23710545920
12	3284	0.375	9.1	600.0	58.76	20.53	0.00	0.00	11.01	15.27	19931824.0	0.0	1474551.8	23439075328
13	3557	0.369	9.1	650.0	58.77	21.87	0.00	0.00	9.94	15.02	19930144.0	0.0	1473071.8	22893332480
14	3834	0.369	8.6	700.1	58.89	21.74	0.00	0.00	8.87	14.79	19928350.0	0.0	1471565.6	22134059008
15	4109	0.400	9.6	750.1	58.55	21.02	0.00	0.00	8.09	14.96	19926846.0	0.0	1470084.0	21544466432
16	4378	0.399	9.9	800.1	59.00	21.62	0.00	0.00	7.26	14.57	19925470.0	0.0	1468674.4	20662802432
17	4638	0.384	9.1	850.1	58.28	20.82	0.00	0.00	6.41	14.72	19924232.0	0.0	1467354.9	22473840640
18	4913	0.377	9.5	900.1	59.04	19.03	0.00	0.00	5.67	13.89	19922770.0	0.0	1465909.2	21815396352
19	5177	0.378	10.0	950.1	59.69	19.84	0.00	0.00	5.25	13.11	19921300.0	0.0	1464548.2	21129015296
20	5424	0.368	10.4	1000.1	60.44	20.52	0.00	0.00	5.18	12.43	19920068.0	0.0	1463317.6	20762959872
21	5668	0.369	10.3	1050.0	60.84	20.86	0.00	0.00	5.10	12.23	19918966.0	0.0	1462133.9	20335640576
22	5914	0.374	10.4	1100.1	61.06	21.16	0.00	0.00	4.99	12.00	19917882.0	0.0	1460917.9	20297078784
23	6159	0.374	10.4	1150.2	61.28	19.65	0.00	0.00	4.87	12.08	19916568.0	0.0	1459709.5	20143599616
24	6407	0.382	10.2	1200.0	61.72	19.88	0.00	0.00	4.78	11.96	19915378.0	0.0	1458474.6	19891343360
25	6655	0.400	10.5	1250.2	61.84	20.64	0.00	0.00	4.74	11.41	19914204.0	0.0	1457246.2	19738814464
26	6904	0.395	9.7	1300.2	61.80	20.84	0.00	0.00	4.52	10.92	19912962.0	0.0	1456026.9	20449609728
27	7174	0.397	8.0	1350.2	61.31	20.13	0.00	0.00	4.48	10.58	19911610.0	0.0	1454657.0	17887404032
28	7433	0.400	10.0	1400.0	61.89	19.45	0.00	0.00	4.50	9.76	19910144.0	0.0	1453352.6	19537743872
29	7701	0.398	9.5	1450.1	61.92	20.87	0.00	0.00	4.63	9.37	19909052.0	0.0	1452001.2	17494740992
30	7948	0.397	10.2	1500.2	62.39	21.94	0.00	0.00	4.74	8.70	19908234.0	0.0	1450804.0	17697531904
31	8191	0.380	10.4	1550.0	62.70	20.18	0.00	0.00	4.82	8.49	19907152.0	0.0	1449641.6	17140728832
32	8446	0.400	10.4	1600.1	61.88	20.00	0.00	0.00	4.81	8.24	19906200.0	0.0	1448403.1	17745389568
33	8701	0.399	10.0	1650.1	62.57	21.00	0.00	0.00	4.91	8.34	19905002.0	0.0	1447144.6	16178574336
34	8948	0.394	9.7	1700.2	62.53	20.95	0.00	0.00	4.97	8.37	19904194.0	0.0	1445948.1	15685326848
35	9194	0.394	10.1	1750.2	62.66	20.19	0.00	0.00	5.02	8.35	19903202.0	0.0	1444757.9	15244840960
36	9456	0.400	8.1	1800.1	62.11	19.92	0.00	0.00	4.99	9.24	19902214.0	0.0	1443480.5	15929411584
37	9750	0.400	9.6	1850.1	61.23	20.15	0.00	0.00	5.02	9.14	19900946.0	0.0	1441974.6	17027130368
38	10024	0.397	10.4	1900.0	61.16	18.64	0.00	0.00	5.13	8.91	19899968.0	0.0	1440598.6	16524140544
39	10312	0.393	9.0	1950.1	61.18	18.82	0.00	0.00	5.14	10.07	19898874.0	0.0	1439149.4	15938256896
40	10591	0.383	9.1	2000.1	61.43	18.92	0.00	0.00	5.19	10.17	19897598.0	0.0	1437740.2	15045801984
41	10858	0.400	9.7	2050.0	61.72	18.94	0.00	0.00	5.27	9.78	19896862.0	0.0	1436412.1	13973382144
42	11124	0.396	9.7	2100.2	61.65	19.52	0.00	0.00	5.28	9.71	19895676.0	0.0	1435120.2	14187087872
43	11401	0.400	7.4	2150.1	60.57	19.25	0.00	0.00	5.25	10.14	19894618.0	0.0	1433755.0	14197617664
44	11699	0.400	9.1	2200.1	60.35	19.99	0.00	0.00	5.33	10.12	19893418.0	0.0	1432201.5	15196859392
45	11998	0.399	7.6	2250.1	59.72	19.57	0.00	0.00	5.35	10.13	19892198.0	0.0	1430656.0	13346884608
46	12304	0.330	7.4	2300.1	58.94	20.04	0.00	0.00	5.36	10.57	19890964.0	0.0	1429057.8	13834680320
47	12615	0.398	8.8	2350.1	58.69	19.32	0.00	0.00	5.39	10.59	19889758.0	0.0	1427431.6	15040704512
48	12929	0.291	8.8	2400.0	58.18	18.03	0.00	0.00	5.42	10.63	19888538.0	0.0	1425784.1	14831033344
49	13245	0.400	6.9	2450.0	58.02	17.92	0.00	0.00	5.45	10.67	19887344.0	0.0	1424132.0	13885897728
50	13578	0.309	6.6	2500.1	57.73	17.73	0.00	0.00	5.42	10.41	19885872.0	0.0	1422339.6	13701063680
51	13912	0.303	6.7	2550.0	57.44	16.35	0.00	0.00	5.46	10.40	19884560.0	0.0	1420541.2	13823281152
52	14242	0.397	8.4	2600.1	57.63	15.12	0.00	0.00	5.45	10.57	19883370.0	0.0	1418776.4	15239847936
53	14586	0.318	7.6	2650.1	57.12	14.74	0.00	0.00	5.43	10.26	19882034.0	0.0	1416911.2	14729221120
54	14951	0.296	7.5	2700.1	56.31	14.94	0.00	0.00	5.50	10.38	19880488.0	0.0	1414918.0	15304122368
55	15322	0.295	7.4	2750.1	55.88	14.97	0.00	0.00	5.51	10.36	19879100.0	0.0	1412869.8	15341932544
56	15693	0.295	7.3	2800.1	55.61	14.93	0.00	0.00	5.53	10.39	19877710.0	0.0	1410815.8	15200878592
57	16074	0.294	7.1	2850.0	55.10	15.55	0.00	0.00	5.53	10.94	19876168.0	0.0	1408699.8	15667636224
58	16451	0.398	8.7	2900.1	55.08	15.83	0.00	0.00	5.71	10.82	19874534.0	0.0	1406630.1	15434664960
59	16784	0.398	6.7	2950.1	54.96	14.53	0.00	0.00	5.64	10.12	19873326.0	0.0	1404926.1	12720024576
60	17119	0.292	6.7	3000.0	54.85	14.38	0.00	0.00	5.68	10.03	19872036.0	0.0	1403238.2	12504300544
61	17448	0.296	6.7	3050.0	55.01	14.51	0.00	0.00	5.69	9.98	19870920.0	0.0	1401593.0	12473174016
62	17742	0.400	8.8	3100.0	56.11	14.39	0.00	0.00	5.79	10.02	19869872.0	0.0	1400173.0	11812527104
63	18038	0.398	7.5	3150.0	56.25	13.94	0.00	0.00	5.79	9.46	19868758.0	0.0	1398807.4	11603015680
64	18347	0.399	8.3	3200.0	56.11	14.29	0.00	0.00	5.81	9.73	19867658.0	0.0	1397345.2	12593904640
65	18672	0.324	8.9	3250.0	55.67	14.32	0.00	0.00	5.78	10.32	19866366.0	0.0	1395758.1	13137062912
66	18994	0.325	8.6	3300.1	55.13	14.26	0.00	0.00	5.80	10.23	19865036.0	0.0	1394172.6	12740180992
67	19314	0.330	8.8	3350.0	54.66	14.16	0.00	0.00	5.81	10.10	19863758.0	0.0	1392618.2	12820070400
68	19642	0.281	8.6	3400.1	54.24	14.25	0.00	0.00	5.82	10.05	19862690.0	0.0	1391012.2	12953368576
69	19972	0.281	8.8	3450.0	53.86	14.29	0.00	0.00	5.85	10.08	19861192.0	0.0	1389373.1	13003082752
70	20253	0.397	10.3	3500.1	55.33	13.78	0.00	0.00	5.95	8.59	19860148.0	0.0	1388048.8	10529231872
71	20531	0.392	9.8	3550.1	56.61	14.82	0.00	0.00	5.93	9.11	19858946.0	0.0	1386818.0	11569243136
72	20817	0.396	9.2	3600.1	56.95	14.97	0.00	0.00	5.99	9.10	19858018.0	0.0	1385530.2	11540779008
