nout	nsum	z0_vflow1	z0vchange1	z0_vflow2	z0vchange2	z0_vflow3	z0vchange3
0	0	19952386.000	0	0.000	0	1488957.125	0
1	50.1	19950938.000	0.000	0.000	0.000	1488552.250	0.000
2	100.0	19948570.000	0.000	0.000	0.000	1487864.750	0.000
3	150.1	19946908.000	0.000	0.000	0.000	1486788.000	0.000
4	200.0	19944944.000	0.000	0.000	0.000	1485566.500	0.000
5	250.1	19943060.000	0.000	0.000	0.000	1484259.750	0.000
6	300.1	19941276.000	0.000	0.000	0.000	1482971.625	0.000
7	350.1	19939600.000	0.000	0.000	0.000	1481597.500	0.000
8	400.1	19937782.000	0.000	0.000	0.000	1480047.875	0.000
9	450.1	19936352.000	0.000	0.000	0.000	1478684.750	0.000
10	500.0	19934828.000	0.000	0.000	0.000	1477331.625	0.000
11	550.1	19933306.000	0.000	0.000	0.000	1475933.500	0.000
12	600.0	19931824.000	0.000	0.000	0.000	1474551.750	0.000
13	650.0	19930144.000	0.000	0.000	0.000	1473071.750	0.000
14	700.1	19928350.000	0.000	0.000	0.000	1471565.625	0.000
15	750.1	19926846.000	0.000	0.000	0.000	1470084.000	0.000
16	800.1	19925470.000	0.000	0.000	0.000	1468674.375	0.000
17	850.1	19924232.000	0.000	0.000	0.000	1467354.875	0.000
18	900.1	19922770.000	0.000	0.000	0.000	1465909.250	0.000
19	950.1	19921300.000	0.000	0.000	0.000	1464548.250	0.000
20	1000.1	19920068.000	0.000	0.000	0.000	1463317.625	0.000
21	1050.0	19918966.000	0.000	0.000	0.000	1462133.875	0.000
22	1100.1	19917882.000	0.000	0.000	0.000	1460917.875	0.000
23	1150.2	19916568.000	0.000	0.000	0.000	1459709.500	0.000
24	1200.0	19915378.000	0.000	0.000	0.000	1458474.625	0.000
25	1250.2	19914204.000	0.000	0.000	0.000	1457246.250	0.000
26	1300.2	19912962.000	0.000	0.000	0.000	1456026.875	0.000
27	1350.2	19911610.000	0.000	0.000	0.000	1454657.000	0.000
28	1400.0	19910144.000	0.000	0.000	0.000	1453352.625	0.000
29	1450.1	19909052.000	0.000	0.000	0.000	1452001.250	0.000
30	1500.2	19908234.000	0.000	0.000	0.000	1450804.000	0.000
31	1550.0	19907152.000	0.000	0.000	0.000	1449641.625	0.000
32	1600.1	19906200.000	0.000	0.000	0.000	1448403.125	0.000
33	1650.1	19905002.000	0.000	0.000	0.000	1447144.625	0.000
34	1700.2	19904194.000	0.000	0.000	0.000	1445948.125	0.000
35	1750.2	19903202.000	0.000	0.000	0.000	1444757.875	0.000
36	1800.1	19902214.000	0.000	0.000	0.000	1443480.500	0.000
37	1850.1	19900946.000	0.000	0.000	0.000	1441974.625	0.000
38	1900.0	19899968.000	0.000	0.000	0.000	1440598.625	0.000
39	1950.1	19898874.000	0.000	0.000	0.000	1439149.375	0.000
40	2000.1	19897598.000	0.000	0.000	0.000	1437740.250	0.000
41	2050.0	19896862.000	0.000	0.000	0.000	1436412.125	0.000
42	2100.2	19895676.000	0.000	0.000	0.000	1435120.250	0.000
43	2150.1	19894618.000	0.000	0.000	0.000	1433755.000	0.000
44	2200.1	19893418.000	0.000	0.000	0.000	1432201.500	0.000
45	2250.1	19892198.000	0.000	0.000	0.000	1430656.000	0.000
46	2300.1	19890964.000	0.000	0.000	0.000	1429057.750	0.000
47	2350.1	19889758.000	0.000	0.000	0.000	1427431.625	0.000
48	2400.0	19888538.000	0.000	0.000	0.000	1425784.125	0.000
49	2450.0	19887344.000	0.000	0.000	0.000	1424132.000	0.000
50	2500.1	19885872.000	0.000	0.000	0.000	1422339.625	0.000
51	2550.0	19884560.000	0.000	0.000	0.000	1420541.250	0.000
52	2600.1	19883370.000	0.000	0.000	0.000	1418776.375	0.000
53	2650.1	19882034.000	0.000	0.000	0.000	1416911.250	0.000
54	2700.1	19880488.000	0.000	0.000	0.000	1414918.000	0.000
55	2750.1	19879100.000	0.000	0.000	0.000	1412869.750	0.000
56	2800.1	19877710.000	0.000	0.000	0.000	1410815.750	0.000
57	2850.0	19876168.000	0.000	0.000	0.000	1408699.750	0.000
58	2900.1	19874534.000	0.000	0.000	0.000	1406630.125	0.000
59	2950.1	19873326.000	0.000	0.000	0.000	1404926.125	0.000
60	3000.0	19872036.000	0.000	0.000	0.000	1403238.250	0.000
61	3050.0	19870920.000	0.000	0.000	0.000	1401593.000	0.000
62	3100.0	19869872.000	0.000	0.000	0.000	1400173.000	0.000
63	3150.0	19868758.000	0.000	0.000	0.000	1398807.375	0.000
64	3200.0	19867658.000	0.000	0.000	0.000	1397345.250	0.000
65	3250.0	19866366.000	0.000	0.000	0.000	1395758.125	0.000
66	3300.1	19865036.000	0.000	0.000	0.000	1394172.625	0.000
67	3350.0	19863758.000	0.000	0.000	0.000	1392618.250	0.000
68	3400.1	19862690.000	0.000	0.000	0.000	1391012.250	0.000
69	3450.0	19861192.000	0.000	0.000	0.000	1389373.125	0.000
70	3500.1	19860148.000	0.000	0.000	0.000	1388048.750	0.000
71	3550.1	19858946.000	0.000	0.000	0.000	1386818.000	0.000
72	3600.1	19858018.000	0.000	0.000	0.000	1385530.250	0.000
