nout	nsum	z0_vflow1	z0vchange1	z0_vflow2	z0vchange2	z0_vflow3	z0vchange3
0	0	1978125.000	0	0.000	0	1488957.125	0
1	5.1	1978103.625	0.000	0.000	0.000	1488930.000	0.000
2	10.2	1978054.375	0.000	0.000	0.000	1488881.750	0.000
3	15.1	1977963.625	0.000	0.000	0.000	1488812.750	0.000
4	20.1	1977892.875	0.000	0.000	0.000	1488727.875	0.000
5	25.1	1977811.875	0.000	0.000	0.000	1488633.250	0.000
6	30.1	1977714.625	0.000	0.000	0.000	1488557.875	0.000
7	35.1	1977601.750	0.000	0.000	0.000	1488505.750	0.000
8	40.0	1977497.750	0.000	0.000	0.000	1488468.250	0.000
9	45.1	1977400.750	0.000	0.000	0.000	1488442.250	0.000
10	50.1	1977304.750	0.000	0.000	0.000	1488413.000	0.000
11	55.1	1977211.875	0.000	0.000	0.000	1488391.375	0.000
12	60.1	1977124.250	0.000	0.000	0.000	1488365.375	0.000
13	65.0	1977040.125	0.000	0.000	0.000	1488336.625	0.000
14	70.0	1976967.000	0.000	0.000	0.000	1488304.750	0.000
15	75.0	1976876.500	0.000	0.000	0.000	1488271.000	0.000
16	80.0	1976795.375	0.000	0.000	0.000	1488224.750	0.000
17	85.1	1976705.375	0.000	0.000	0.000	1488174.000	0.000
18	90.1	1976615.000	0.000	0.000	0.000	1488112.375	0.000
19	95.1	1976526.125	0.000	0.000	0.000	1488048.625	0.000
20	100.0	1976431.750	0.000	0.000	0.000	1487986.250	0.000
21	105.1	1976332.125	0.000	0.000	0.000	1487922.750	0.000
22	110.1	1976236.375	0.000	0.000	0.000	1487851.875	0.000
23	115.0	1976146.250	0.000	0.000	0.000	1487787.750	0.000
24	120.1	1976026.875	0.000	0.000	0.000	1487721.250	0.000
25	125.0	1975924.250	0.000	0.000	0.000	1487654.250	0.000
26	130.1	1975824.125	0.000	0.000	0.000	1487590.500	0.000
27	135.0	1975723.000	0.000	0.000	0.000	1487525.000	0.000
28	140.1	1975617.500	0.000	0.000	0.000	1487456.750	0.000
29	145.1	1975530.375	0.000	0.000	0.000	1487388.250	0.000
30	150.0	1975431.125	0.000	0.000	0.000	1487325.625	0.000
31	155.1	1975332.500	0.000	0.000	0.000	1487255.250	0.000
32	160.1	1975241.000	0.000	0.000	0.000	1487190.000	0.000
33	165.0	1975136.250	0.000	0.000	0.000	1487121.625	0.000
34	170.1	1975035.250	0.000	0.000	0.000	1487048.375	0.000
35	175.1	1974935.375	0.000	0.000	0.000	1486974.125	0.000
36	180.2	1974825.500	0.000	0.000	0.000	1486875.375	0.000
37	185.0	1974708.125	0.000	0.000	0.000	1486761.625	0.000
38	190.1	1974558.375	0.000	0.000	0.000	1486621.375	0.000
39	195.0	1974401.375	0.000	0.000	0.000	1486469.625	0.000
40	200.1	1974231.875	0.000	0.000	0.000	1486295.375	0.000
41	205.1	1974076.000	0.000	0.000	0.000	1486121.375	0.000
42	210.1	1973905.500	0.000	0.000	0.000	1485933.000	0.000
43	215.1	1973726.500	0.000	0.000	0.000	1485730.250	0.000
44	220.1	1973550.250	0.000	0.000	0.000	1485546.625	0.000
45	225.0	1973348.000	0.000	0.000	0.000	1485342.625	0.000
46	230.0	1973177.625	0.000	0.000	0.000	1485159.875	0.000
47	235.0	1972994.000	0.000	0.000	0.000	1484956.625	0.000
48	240.1	1972829.125	0.000	0.000	0.000	1484780.375	0.000
49	245.1	1972677.750	0.000	0.000	0.000	1484606.000	0.000
50	250.1	1972537.750	0.000	0.000	0.000	1484430.375	0.000
51	255.0	1972416.000	0.000	0.000	0.000	1484271.125	0.000
52	260.0	1972292.750	0.000	0.000	0.000	1484109.125	0.000
53	265.0	1972163.125	0.000	0.000	0.000	1483959.750	0.000
54	270.1	1972024.750	0.000	0.000	0.000	1483804.625	0.000
55	275.1	1971887.500	0.000	0.000	0.000	1483647.625	0.000
56	280.1	1971746.750	0.000	0.000	0.000	1483486.250	0.000
57	285.0	1971598.000	0.000	0.000	0.000	1483333.375	0.000
58	290.1	1971462.500	0.000	0.000	0.000	1483161.000	0.000
59	295.1	1971316.375	0.000	0.000	0.000	1482999.625	0.000
60	300.1	1971175.000	0.000	0.000	0.000	1482828.625	0.000
