nout	nsum	cfl	tlength	tsum	dmax1	vmax1	dmax2	vmax2	dmax3	vmax3	volume1	volume2	volume3	ekin
R	-----	-----	-----	-----	*1.00	-----	*0.00	-----	*24.72	-----	*105156.2	*0.0	*1488957.1	-----
0	0	-----	-----	0.0	1.00	0.00	0.00	0.00	24.72	0.00	105156.2	0.0	1488957.1	-----
1	13	0.399	16.3	5.3	1.76	23.72	0.00	0.00	24.23	12.23	105137.0	0.0	1488935.1	20199577600
2	30	0.395	12.8	10.0	1.96	34.86	0.00	0.00	23.63	12.42	105104.6	0.0	1488902.6	49992359936
3	51	0.367	11.5	15.1	1.98	39.34	0.00	0.00	24.21	13.39	105056.5	0.0	1488859.2	47508017152
4	74	0.366	11.1	20.2	2.05	35.92	0.00	0.00	24.49	13.53	105000.7	0.0	1488802.5	31979456512
5	95	0.366	11.8	25.0	2.10	34.96	0.00	0.00	24.26	13.51	104943.8	0.0	1488754.5	19995703296
6	116	0.362	12.1	30.1	2.16	33.79	0.00	0.00	24.10	13.28	104897.9	0.0	1488706.9	10026223616
7	137	0.362	12.1	35.2	2.06	33.19	0.00	0.00	24.36	13.14	104849.3	0.0	1488665.5	5691019264
8	157	0.363	12.1	40.0	1.82	32.71	0.00	0.00	24.49	13.09	104799.3	0.0	1488627.6	4145012224
9	178	0.362	12.1	45.1	1.66	28.99	0.00	0.00	24.41	13.19	104743.4	0.0	1488582.6	3436769280
10	199	0.363	12.1	50.2	1.53	25.72	0.00	0.00	24.39	13.41	104685.3	0.0	1488537.2	3107364608
11	219	0.363	12.1	55.1	1.44	25.32	0.00	0.00	24.47	13.36	104629.0	0.0	1488489.8	2935795200
12	240	0.362	12.1	60.2	1.36	22.93	0.00	0.00	24.48	13.26	104569.2	0.0	1488444.2	2785910784
13	260	0.362	12.1	65.0	1.31	21.14	0.00	0.00	24.44	13.14	104513.3	0.0	1488397.4	2652838912
